family,index,method,theta_high,rmse_high,rmse_low,global_rmse,global_rmse_sq,decomposed_rmse_sq,abs_decomposition_error
mid_frequency_undulation,0,afp_poly_residual_phs,0.19999999999999996,0.0007413083299536516,0.00039856861431758185,0.00048692925412650265,2.371000985241922e-07,2.3699316026696423e-07,1.0693825722797358e-10
mid_frequency_undulation,0,afp_exchange_poly_residual_phs,0.19999999999999996,0.0005095159291577044,0.00035409878297705955,0.00039021377999118285,1.5226679409500726e-07,1.5223005489775555e-07,3.673919725170748e-11
mid_frequency_undulation,1,afp_poly_residual_phs,0.19999999999999996,0.0008806430652232743,0.0002219785811070665,0.0004412763614928404,1.9472482721235995e-07,1.94526034041414e-07,1.9879317094594364e-10
mid_frequency_undulation,1,afp_exchange_poly_residual_phs,0.19999999999999996,0.0003755585690020388,0.00025449000274531793,0.00028291669490768584,8.004185625748858e-08,8.002097694802137e-08,2.0879309467214685e-11
mid_frequency_undulation,2,afp_poly_residual_phs,0.19999999999999996,0.00043275204123743123,0.0001123593185245578,0.0002181796612536987,4.760236458477872e-08,4.75545590064751e-08,4.780557830362071e-11
mid_frequency_undulation,2,afp_exchange_poly_residual_phs,0.19999999999999996,0.00019077911002655652,0.0001270846652101045,0.00014214529644334873,2.0205285300967488e-08,2.019974346975647e-08,5.541831211019763e-12
mid_frequency_undulation,3,afp_poly_residual_phs,0.19999999999999996,0.0006533419531317851,0.00023969718247806286,0.00036254109612362156,1.3143604637851702e-07,1.3133493297474852e-07,1.011134037685043e-10
mid_frequency_undulation,3,afp_exchange_poly_residual_phs,0.19999999999999996,0.0003864763974904671,0.0002600442053402411,0.00028981643589393377,8.399356651426263e-08,8.397119214827189e-08,2.237436599073914e-11
mid_frequency_undulation,4,afp_poly_residual_phs,0.19999999999999996,0.0008511637884621752,0.000154282344889003,0.0004051298354791943,1.6413018359539902e-07,1.6393839251341585e-07,1.9179108198316973e-10
mid_frequency_undulation,4,afp_exchange_poly_residual_phs,0.19999999999999996,0.0005445601720644612,0.00016680855333308682,0.0002857320176398789,8.164278590455607e-08,8.156923097183692e-08,7.35549327191456e-11
smooth_low_variation,0,afp_poly_residual_phs,0.19999999999999996,4.242379811761865e-05,8.524501235724635e-06,2.045879214187189e-05,4.1856217590431895e-10,4.180894263991893e-10,4.727495051296314e-13
smooth_low_variation,0,afp_exchange_poly_residual_phs,0.19999999999999996,3.397290610341676e-05,7.417488861421647e-06,1.6587580953896093e-05,2.7514784190205645e-10,2.7484698262976565e-10,3.0085927229079687e-13
smooth_low_variation,1,afp_poly_residual_phs,0.19999999999999996,0.00047486015014828054,8.99190820414613e-05,0.0002272142042893462,5.1626294630840754e-08,5.156678549191274e-08,5.950913892801552e-11
smooth_low_variation,1,afp_exchange_poly_residual_phs,0.19999999999999996,0.0001660513517398441,7.362188333152105e-05,9.928151584690237e-05,9.856819388858726e-09,9.850755647149961e-09,6.0637417087648845e-12
smooth_low_variation,2,afp_poly_residual_phs,0.19999999999999996,9.066746827201699e-05,2.3516285088670542e-05,4.570152383247523e-05,2.0886292806103015e-09,2.086530492068744e-09,2.0987885415573404e-12
smooth_low_variation,2,afp_exchange_poly_residual_phs,0.19999999999999996,6.0061479774456525e-05,2.754441196496602e-05,3.645835603742031e-05,1.3292117249513022e-09,1.3284319749361004e-09,7.797500152017126e-13
smooth_low_variation,3,afp_poly_residual_phs,0.19999999999999996,0.00021762220904935739,4.050962127948113e-05,0.00010390968610713687,1.0797222866883712e-08,1.0784708707270031e-08,1.2514159613681336e-11
smooth_low_variation,3,afp_exchange_poly_residual_phs,0.19999999999999996,0.00014686057294960864,5.5691149547338264e-05,8.246128542016828e-05,6.799863593146457e-09,6.79480888774066e-09,5.054705405797302e-12
smooth_low_variation,4,afp_poly_residual_phs,0.19999999999999996,0.00018561530747860243,4.6006690738008e-05,9.269709898327252e-05,8.592752159914622e-09,8.583900948205392e-09,8.85121170923043e-12
smooth_low_variation,4,afp_exchange_poly_residual_phs,0.19999999999999996,0.0001152390743263572,5.1635792155415065e-05,6.922368171231926e-05,4.791918109808483e-09,4.789012875532915e-09,2.9052342755683658e-12
