family,index,seed,method,degree,global_rmse,local_rmse,residual_global_rmse,residual_local_rmse,p95_abs,condition,success
mid_frequency,1,20343514,afp_poly_only,5,0.0014076622411993065,0.00154236726175471,nan,nan,nan,172.80633598550102,True
mid_frequency,1,20343514,regular_poly_residual_phs,5,0.0004949427883979976,0.0008517125038289573,0.0004949427883979976,0.0008517125038289573,0.0009656908786915075,327.43361648915993,True
mid_frequency,1,20343514,afp_poly_residual_phs,5,0.0003546159729247102,0.0005935581917789373,0.0003546159729247102,0.0005935581917789373,0.0007512195912061411,172.80633598550102,True
mid_frequency,1,20343514,hessian_weighted_poly_residual_phs,5,0.00038655830133393394,0.0005786380850674064,0.00038655830133393394,0.0005786380850674064,0.0008508642049849008,193.97631215077476,True
mid_frequency,1,20343514,afp_exchange_poly_residual_phs,5,0.00033759327851417366,0.0003768368084850956,0.00033759327851417366,0.00037683680848509557,0.0007151749583859189,186.07811455284164,True
mid_frequency,2,20343515,regular_poly_only,5,0.00253132622613092,0.0031286379164622443,nan,nan,nan,327.43361648915993,True
mid_frequency,2,20343515,afp_poly_only,5,0.0024536518530614546,0.0030033266120211987,nan,nan,nan,189.7613717573835,True
mid_frequency,2,20343515,regular_poly_residual_phs,5,0.0008717238274319897,0.0015538652255831294,0.0008717238274319897,0.0015538652255831294,0.0016217096156122656,327.43361648915993,True
mid_frequency,2,20343515,afp_poly_residual_phs,5,0.0005493786534542441,0.0008960945699859002,0.0005493786534542441,0.0008960945699859002,0.0009449501289829752,189.7613717573835,True
mid_frequency,2,20343515,hessian_weighted_poly_residual_phs,5,0.0003036906965528138,0.0004836305053442412,0.0003036906965528138,0.0004836305053442412,0.0006577046034605427,174.84948907050648,True
mid_frequency,2,20343515,afp_exchange_poly_residual_phs,5,0.00029225553630669,0.000382992625825477,0.00029225553630669,0.000382992625825477,0.0006128862361497,234.85834569675362,True
mid_frequency,3,20343516,regular_poly_only,5,0.0045457623534474415,0.0055051048672941335,nan,nan,nan,327.43361648915993,True
mid_frequency,3,20343516,afp_poly_only,5,0.004277186467564496,0.0042812077680494075,nan,nan,nan,174.1926474443888,True
mid_frequency,3,20343516,regular_poly_residual_phs,5,0.0014104883338325331,0.0025839443888945705,0.0014104883338325331,0.0025839443888945705,0.00295751987361451,327.43361648915993,True
mid_frequency,3,20343516,afp_poly_residual_phs,5,0.0008377549160560732,0.001229488043759124,0.0008377549160560732,0.001229488043759124,0.0020231747050704738,174.1926474443888,True
mid_frequency,3,20343516,hessian_weighted_poly_residual_phs,5,0.0004948538127562939,0.0006495315804254533,0.0004948538127562939,0.0006495315804254533,0.0010454065614135459,184.9307347569454,True
mid_frequency,3,20343516,afp_exchange_poly_residual_phs,5,0.0005887250862209464,0.000520729527626676,0.0005887250862209464,0.000520729527626676,0.0012175303030491818,190.02374698061965,True
mid_frequency,4,20343517,regular_poly_only,5,0.002710861989887098,0.004150487794822252,nan,nan,nan,327.43361648915993,True
mid_frequency,4,20343517,afp_poly_only,5,0.002242923271935708,0.0027976522617344144,nan,nan,nan,169.76210032703807,True
mid_frequency,4,20343517,regular_poly_residual_phs,5,0.0013405856138833253,0.002658823323515345,0.0013405856138833253,0.002658823323515345,0.0017129571344104396,327.43361648915993,True
mid_frequency,4,20343517,afp_poly_residual_phs,5,0.0005237370730378864,0.0009307263965430639,0.0005237370730378864,0.0009307263965430639,0.0007633217288478707,169.76210032703807,True
mid_frequency,4,20343517,hessian_weighted_poly_residual_phs,5,0.00031059346115662933,0.0003200441888066137,0.00031059346115662933,0.0003200441888066137,0.0006418130197394306,171.9171366417932,True
mid_frequency,4,20343517,afp_exchange_poly_residual_phs,5,0.0003889066143764738,0.00040839908624877314,0.0003889066143764738,0.00040839908624877314,0.0008037330625971192,198.20443197512103,True
