family,index,seed,method,degree,global_rmse,local_rmse,p95_abs,condition
edge_rolloff,2,20331515,afp_exchange,11,0.0003717032341168176,0.0006851624581616109,0.0007344296879593999,192964.794023191
edge_rolloff,3,20331516,regular_grid,3,0.0035051816311047323,0.0062500557579850185,0.006078761071523598,24.94365478273628
edge_rolloff,3,20331516,regular_grid,5,0.0036584803200034547,0.007813856915502997,0.008343914282722189,327.43361648915993
edge_rolloff,3,20331516,regular_grid,7,0.008901193196352434,0.019631598156013525,0.020242133473504852,7676.108739186785
edge_rolloff,3,20331516,regular_grid,9,0.0029640578021169024,0.006138220635645771,0.005907963704289384,7.740388647875343e+17
edge_rolloff,3,20331516,regular_grid,11,0.002641060208726787,0.005492016760558199,0.005309902255481822,4.049534361189323e+17
edge_rolloff,3,20331516,random_uniform,3,0.0024106664289214215,0.004718385110077251,0.005754358192115876,22.366450383659917
edge_rolloff,3,20331516,random_uniform,5,0.0014965779471654591,0.0027045540562821704,0.003109528630408333,246.6316559197991
edge_rolloff,3,20331516,random_uniform,7,0.0008680834450635949,0.0017853433059309511,0.0018851332222884747,4172.216265722002
edge_rolloff,3,20331516,random_uniform,9,0.0004880883527342652,0.0010632940700709764,0.0009912050892025035,99094.28485982146
edge_rolloff,3,20331516,random_uniform,11,0.00139974362022996,0.0029933346043670176,0.002767615119420076,1535107.2071579427
edge_rolloff,3,20331516,jittered_grid,3,0.0030607341956050784,0.005690728265901225,0.0058806251341706126,25.239793851034683
edge_rolloff,3,20331516,jittered_grid,5,0.002520381850081984,0.005330783380991523,0.0047327736635593845,300.3253425674988
edge_rolloff,3,20331516,jittered_grid,7,0.00275719216797261,0.006084596969391561,0.004938659017029625,5342.253342198201
edge_rolloff,3,20331516,jittered_grid,9,0.012585558345923672,0.027968135066040987,0.0163590399570726,185950.75772930964
edge_rolloff,3,20331516,jittered_grid,11,0.001227037454127743,0.0026957537632244883,0.0018642366465886693,411263.28681202926
edge_rolloff,3,20331516,afp_baseline,3,0.0025054648890520995,0.0032359091880741074,0.0051123151129339834,17.692258730182235
edge_rolloff,3,20331516,afp_baseline,5,0.0012031980291738222,0.001692783639155069,0.0023411584941475834,163.87656076956137
edge_rolloff,3,20331516,afp_baseline,7,0.00039541355550146444,0.0007086305451574209,0.0006839781878215968,2029.201316419981
edge_rolloff,3,20331516,afp_baseline,9,0.00034172710380795437,0.0007009261790321081,0.0006933566866411847,45914.69848534507
edge_rolloff,3,20331516,afp_baseline,11,0.0005276229326875675,0.0011051954497464424,0.000900699133351536,157266.33503649812
edge_rolloff,3,20331516,hessian_weighted,3,0.0026361861866249477,0.0030891263640847036,0.005163358255033289,19.130977502383335
edge_rolloff,3,20331516,hessian_weighted,5,0.0012684833601082296,0.001664749400258473,0.0026637857040469506,234.89641802013
edge_rolloff,3,20331516,hessian_weighted,7,0.0005619417339158417,0.0008891590213752081,0.001129621045095263,2599.462658860705
edge_rolloff,3,20331516,hessian_weighted,9,0.0008421538749712616,0.0014593404565065747,0.0016479409693765357,42161.566502584064
edge_rolloff,3,20331516,hessian_weighted,11,0.00037915083838680483,0.0006704431277422573,0.0008100821154069559,71459.74312253247
edge_rolloff,3,20331516,afp_exchange,3,0.0025793125158267622,0.003329052383084253,0.005296048886944741,18.21749934733218
edge_rolloff,3,20331516,afp_exchange,5,0.0012229572376612106,0.0016651778805814403,0.0023272173006090788,168.7365860681566
edge_rolloff,3,20331516,afp_exchange,7,0.000389885828935101,0.0006574855644581168,0.0006748091447453491,2177.945526213431
edge_rolloff,3,20331516,afp_exchange,9,0.0003052212474588607,0.0005881172029848416,0.0006066985281242988,61212.207183361905
edge_rolloff,3,20331516,afp_exchange,11,0.0003326892906552454,0.0006568871114087669,0.0006770903719806329,125787.37161544981
edge_rolloff,4,20331517,regular_grid,3,0.004625110559260318,0.008469973352085469,0.008020965809748832,24.94365478273628
edge_rolloff,4,20331517,regular_grid,5,0.004827389202496423,0.01044419417445341,0.011009850591284774,327.43361648915993
edge_rolloff,4,20331517,regular_grid,7,0.011745183841074133,0.026144948535919046,0.026709630241430728,7676.108739186785
edge_rolloff,4,20331517,regular_grid,9,0.003909911691741342,0.008092339002085064,0.0077947960895921285,7.740388647875343e+17
edge_rolloff,4,20331517,regular_grid,11,0.0034823233055525154,0.007227491917583126,0.007007315508088151,4.049534361189323e+17
edge_rolloff,4,20331517,random_uniform,3,0.0031423556575312507,0.005626455634866068,0.007466101947928184,23.067397253385778
edge_rolloff,4,20331517,random_uniform,5,0.0026802725937586447,0.004505721684483329,0.00511123591791089,230.20615686507108
edge_rolloff,4,20331517,random_uniform,7,0.0011818900808484335,0.0020910660851493398,0.0020791860999266228,3581.513379102369
edge_rolloff,4,20331517,random_uniform,9,0.001016683096329756,0.001735582440881313,0.0017701206197912253,101427.00665669414
edge_rolloff,4,20331517,random_uniform,11,0.003572268356140527,0.0074685926748417775,0.005581463295798448,5115569.736351394
edge_rolloff,4,20331517,jittered_grid,3,0.004321033914725224,0.008247371785067414,0.007866925677751695,24.613597554070587
