family,index,method,theta_high,rmse_high,rmse_low,global_rmse,global_rmse_sq,decomposed_rmse_sq,abs_decomposition_error
mid_frequency_undulation,3,afp_exchange_poly_residual_phs,0.19999999999999996,0.00019886611391221174,0.00027650065062660267,0.0002627956095328228,6.906153238972786e-08,6.907163409005663e-08,1.0101700328766988e-11
mid_frequency_undulation,4,afp_poly_residual_phs,0.19999999999999996,0.000808808935921847,0.00020349471080535452,0.0004051298354791943,1.6413018359539902e-07,1.6396245682600994e-07,1.6772676938908047e-10
mid_frequency_undulation,4,afp_exchange_poly_residual_phs,0.19999999999999996,0.0002691081630413324,0.00021612867186044104,0.00022772825840289534,5.186015967521587e-08,5.185312292322262e-08,7.036751993249477e-12
smooth_low_variation,0,afp_poly_residual_phs,0.19999999999999996,3.6385204512485903e-05,1.3850798256312769e-05,2.045879214187189e-05,4.1856217590431895e-10,4.182523113527463e-10,3.0986455157266205e-13
smooth_low_variation,0,afp_exchange_poly_residual_phs,0.19999999999999996,1.3711406614599736e-05,9.473946720427417e-06,1.046097317976303e-05,1.0943195986772145e-10,1.094050674393758e-10,2.689242834564577e-14
smooth_low_variation,1,afp_poly_residual_phs,0.19999999999999996,0.0004063516197844351,0.00015232826705177468,0.0002272142042893462,5.1626294630840754e-08,5.158744853468425e-08,3.884609615650541e-11
smooth_low_variation,1,afp_exchange_poly_residual_phs,0.19999999999999996,0.00014517542370130466,0.0001649273545264444,0.0001611655358938182,2.5974329959941606e-08,2.5976006546243854e-08,1.6765863022481458e-12
smooth_low_variation,2,afp_poly_residual_phs,0.19999999999999996,8.608556412650044e-05,2.7492335632867016e-05,4.570152383247523e-05,2.0886292806103015e-09,2.086807685035731e-09,1.821595574570481e-12
smooth_low_variation,2,afp_exchange_poly_residual_phs,0.19999999999999996,4.280582365336769e-05,3.7258863718615694e-05,3.843393829290937e-05,1.4771676127031651e-09,1.477046048210544e-09,1.2156449262110012e-13
smooth_low_variation,3,afp_poly_residual_phs,0.19999999999999996,0.00018809136214368734,6.812798038079326e-05,0.00010390968610713687,1.0797222866883712e-08,1.0788809471226147e-08,8.413395657565058e-12
smooth_low_variation,3,afp_exchange_poly_residual_phs,0.19999999999999996,6.992380920835794e-05,8.218004580506791e-05,7.987618845584937e-05,6.380205482234365e-09,6.380715761659817e-09,5.102794254519659e-13
smooth_low_variation,4,afp_poly_residual_phs,0.19999999999999996,0.00018056354709550243,5.079241070780864e-05,9.269709898327252e-05,8.592752159914622e-09,8.584534096350515e-09,8.218063564107682e-12
smooth_low_variation,4,afp_exchange_poly_residual_phs,0.19999999999999996,0.00011589424229036443,7.29791611309874e-05,8.336234227905051e-05,6.9492801102495725e-09,6.947061446717636e-09,2.2186635319361515e-12
