family,index,method,n_points,degree,global_rmse,local_rmse,low_rmse,p95_abs,condition,success
edge_rolloff,3,hessian_weighted_poly_residual_phs,64,5,0.001072604254314116,0.001122900111604004,0.0010596350545787748,0.0023234927818347444,217.9373020792139,True
edge_rolloff,3,afp_exchange_poly_residual_phs,64,5,0.0009206991658658919,0.0009745969143219032,0.0009067001718279329,0.0019499564898793494,220.6851793760404,True
edge_rolloff,4,afp_poly_only,64,5,0.0013527936781910375,0.0019840551555819807,0.0011412902769788113,0.002813389842927346,184.2802227217252,True
edge_rolloff,4,afp_poly_residual_phs,64,5,0.000917979702566026,0.0014390746687582094,0.0007315045800819847,0.002089633692558473,184.2802227217252,True
edge_rolloff,4,hessian_weighted_poly_residual_phs,64,5,0.0009092233529662968,0.0010895313024481877,0.0008581579563853556,0.0020433303543015632,202.18897136310235,True
edge_rolloff,4,afp_exchange_poly_residual_phs,64,5,0.0006906118768326433,0.0009634105930967024,0.0006032809592530217,0.001514229992481681,214.59965850566874,True
local_bump,0,afp_poly_only,64,5,0.002160052705609725,0.004500070777749546,0.0008734744352603043,0.0044844646913393005,170.9638814839797,True
local_bump,0,afp_poly_residual_phs,64,5,0.0009477471381712443,0.0019574923848773335,0.0004044522261842736,0.0020985741814380575,170.9638814839797,True
local_bump,0,hessian_weighted_poly_residual_phs,64,5,0.0009784056020813571,0.0007994097141673542,0.001018316786298646,0.002196538400593898,195.3572598201516,True
local_bump,0,afp_exchange_poly_residual_phs,64,5,0.0005357801393954461,0.00046558770294173667,0.0005519624461857361,0.001122650757170924,200.92774495577547,True
local_bump,1,afp_poly_only,64,5,0.0013683160977260949,0.0026664840836039465,0.0007487228369294069,0.0025620680666060174,179.70214300358785,True
local_bump,1,afp_poly_residual_phs,64,5,0.0009458264072374354,0.0018470878223037872,0.0005140274353972315,0.0022643634905301275,179.70214300358785,True
local_bump,1,hessian_weighted_poly_residual_phs,64,5,0.0005973240064135315,0.0010218008159099995,0.0004297460750862289,0.0014029120200486824,204.10496171021106,True
local_bump,1,afp_exchange_poly_residual_phs,64,5,0.0005294608543187614,0.000930131214250019,0.00036588901349250897,0.000917405956416072,264.5857441933378,True
local_bump,2,afp_poly_only,64,5,0.0017375786720201087,0.0031805952131631504,0.0011144019496634194,0.0033905349334621008,182.00101538391402,True
local_bump,2,afp_poly_residual_phs,64,5,0.0006837200049087426,0.0012690915469847578,0.00042568051098872177,0.0016179347858966962,182.00101538391402,True
local_bump,2,hessian_weighted_poly_residual_phs,64,5,0.0005106858789301302,0.0008005308813205207,0.00040697058986850337,0.0009763914705617573,204.63302775919655,True
local_bump,2,afp_exchange_poly_residual_phs,64,5,0.00036094793112104813,0.00027909427138833316,0.00037868624544689305,0.0008101229210479359,225.97529153672033,True
local_bump,3,afp_poly_only,64,5,0.0007296490277430082,0.0015088968932807862,0.00030910493043887215,0.001362039631761981,185.10517442217048,True
local_bump,3,afp_poly_residual_phs,64,5,0.0003506869905107737,0.0007153777479878494,0.00016005948742685167,0.0007755794096033822,185.10517442217048,True
local_bump,3,hessian_weighted_poly_residual_phs,64,5,0.00028343372612581316,0.000547730443675207,0.00015912951260865852,0.0005158421984041475,216.00273980657082,True
local_bump,3,afp_exchange_poly_residual_phs,64,5,0.000190846321338941,0.00028241869677167594,0.0001599039594428063,0.00032574126804882635,306.69811004989447,True
local_bump,4,afp_poly_only,64,5,0.0022670205788151614,0.004170349022684934,0.0014391084336262286,0.004128796299772716,184.83048773535572,True
local_bump,4,afp_poly_residual_phs,64,5,0.0009521848875311794,0.0018139362121536553,0.0005565151287659568,0.001722518600511109,184.83048773535572,True
local_bump,4,hessian_weighted_poly_residual_phs,64,5,0.0008681123861511126,0.0012804350966637052,0.000729223124317726,0.0015752704440008087,211.17510396114687,True
local_bump,4,afp_exchange_poly_residual_phs,64,5,0.0007476331455743473,0.0010683129885219107,0.0006427455515680061,0.001446919506401039,232.06824200273417,True
mid_frequency_undulation,0,afp_poly_only,64,5,0.0037916710715064274,0.004912506406892049,0.003454505482375422,0.006808839285342823,179.10859351655722,True
mid_frequency_undulation,0,afp_poly_residual_phs,64,5,0.00048692925412650265,0.0005773527110496106,0.00046151913446342496,0.001147536023769808,179.10859351655722,True
mid_frequency_undulation,0,hessian_weighted_poly_residual_phs,64,5,0.0004923444220236144,0.00043086352423803387,0.0005065740095767183,0.0011169772258629565,213.54187786674328,True
mid_frequency_undulation,0,afp_exchange_poly_residual_phs,64,5,0.00037685009547813926,0.00018986360883012067,0.0004105524115634338,0.0008371974286507265,232.51646095693246,True
mid_frequency_undulation,1,afp_poly_only,64,5,0.0029982896494562756,0.004777314145255968,0.002350654193714455,0.005549450823045482,179.10978565066222,True
mid_frequency_undulation,1,afp_poly_residual_phs,64,5,0.0004412763614928404,0.000870434707807592,0.00023184271669698096,0.0007712530981132721,179.10978565066222,True
mid_frequency_undulation,1,hessian_weighted_poly_residual_phs,64,5,0.00032461532281034865,0.0003390212180113725,0.0003209064473304737,0.0006490404533750233,217.71176520390435,True
mid_frequency_undulation,1,afp_exchange_poly_residual_phs,64,5,0.00025614858226944185,0.00027617116150786597,0.0002508843011461749,0.0005609400977703372,232.1057556829627,True
mid_frequency_undulation,2,afp_poly_only,64,5,0.001970601102426569,0.0027029130885379655,0.001739593868455944,0.0035948423338681115,189.77588965156139,True
mid_frequency_undulation,2,afp_poly_residual_phs,64,5,0.0002181796612536987,0.0004013545417476678,0.0001385028386078531,0.000399842278813588,189.77588965156139,True
mid_frequency_undulation,2,hessian_weighted_poly_residual_phs,64,5,0.00024337909868637375,0.00032406785214730794,0.00021855697119150305,0.0005770639981184215,206.71455264354827,True
mid_frequency_undulation,2,afp_exchange_poly_residual_phs,64,5,0.0001771113688973843,0.0001956281139345914,0.00017216272417699513,0.00038271468857316456,211.378849524065,True
mid_frequency_undulation,3,afp_poly_only,64,5,0.0013969969925918795,0.002061054261683496,0.0011732570545283998,0.002634231411348018,187.15354463282253,True
mid_frequency_undulation,3,afp_poly_residual_phs,64,5,0.00036254109612362156,0.0004873194931960632,0.0003238512252645299,0.0008033756625161207,187.15354463282253,True
mid_frequency_undulation,3,hessian_weighted_poly_residual_phs,64,5,0.00030859454669617074,0.00031166904353477663,0.0003078197991559539,0.0005766882344772864,232.43111621745666,True
mid_frequency_undulation,3,afp_exchange_poly_residual_phs,64,5,0.0002627956095328228,0.00019886611391221174,0.00027650065062660267,0.0005911277731489535,246.05815429863935,True
mid_frequency_undulation,4,afp_poly_only,64,5,0.001580358913730509,0.002742347047843856,0.0011133966211424023,0.002839338495266252,184.3671605062421,True
mid_frequency_undulation,4,afp_poly_residual_phs,64,5,0.0004051298354791943,0.000808808935921847,0.00020349471080535452,0.0005758262338164484,184.3671605062421,True
mid_frequency_undulation,4,hessian_weighted_poly_residual_phs,64,5,0.00022057102325840505,0.00036163526326012666,0.00016758376049355833,0.0003771878977083699,189.66384571182996,True
mid_frequency_undulation,4,afp_exchange_poly_residual_phs,64,5,0.00022772825840289534,0.0002691081630413324,0.00021612867186044104,0.0004999502865369535,246.64806011950574,True
