family,index,n_points,method,global_rmse,local_rmse,low_rmse,condition
edge_rolloff,0,64,afp_exchange_poly_residual_phs,0.0006380819630669861,0.0010529918652298703,0.0004810796012913161,202.97484999605848
edge_rolloff,1,64,afp_poly_residual_phs,0.001492233217752931,0.002255708513647294,0.0012288899478293846,195.7714473497816
edge_rolloff,1,64,afp_exchange_poly_residual_phs,0.0008449063583213877,0.0010787413008674434,0.0007753839668024605,189.88610119421557
edge_rolloff,2,64,afp_poly_residual_phs,0.0009140781908163635,0.001207318022471249,0.0008244715418166696,176.33400488192268
edge_rolloff,2,64,afp_exchange_poly_residual_phs,0.0007744459939904615,0.0009504947694306533,0.0007236838033154761,207.95208683064595
edge_rolloff,3,64,afp_poly_residual_phs,0.0009977979630536608,0.0012612878576008801,0.000920073113906991,178.39277885479862
edge_rolloff,3,64,afp_exchange_poly_residual_phs,0.0009108544941620743,0.0009836422455498882,0.0008916966260428707,193.58331543405424
edge_rolloff,4,64,afp_poly_residual_phs,0.0009452980114067429,0.0012236120132993254,0.0008616383022517105,178.38948935286442
edge_rolloff,4,64,afp_exchange_poly_residual_phs,0.0007435383836750922,0.0006861884129352314,0.0007572206455006074,202.02658860336982
local_bump,0,64,afp_poly_residual_phs,0.000929713748030517,0.0018706398460103279,0.0004522265879743206,173.7382618148155
local_bump,0,64,afp_exchange_poly_residual_phs,0.0005443076409610612,0.0004506215495861696,0.0005653436512348341,189.52138133447397
local_bump,1,64,afp_poly_residual_phs,0.0008410188722802218,0.0017112591839691293,0.0003887012500653404,183.31149561962616
local_bump,1,64,afp_exchange_poly_residual_phs,0.0003943403746044678,0.0005490136464973202,0.0003449115701818209,260.7567192441717
local_bump,2,64,afp_poly_residual_phs,0.0009509107405313628,0.0015737587935300444,0.0007144488025594965,192.4831520636827
local_bump,2,64,afp_exchange_poly_residual_phs,0.0004607460878900503,0.0007110529695984769,0.00037260451768289916,208.45850830554096
local_bump,3,64,afp_poly_residual_phs,0.00039139027747500785,0.0008130989143108635,0.00016119292164687692,185.81228369672678
local_bump,3,64,afp_exchange_poly_residual_phs,0.00021911090596263034,0.00036180700400439,0.00016507708454812015,306.2417468854025
local_bump,4,64,afp_poly_residual_phs,0.00096999259362346,0.001671138545665623,0.0006907523084537806,184.29367947721698
local_bump,4,64,afp_exchange_poly_residual_phs,0.0006795654283081251,0.0008709665069226786,0.0006224860072101231,192.63808791445638
mid_frequency_undulation,0,64,afp_poly_residual_phs,0.0004402167523414051,0.0007208543935707863,0.00033494972051652185,179.9464755481697
mid_frequency_undulation,0,64,afp_exchange_poly_residual_phs,0.00029473255208362667,0.0003017439284872782,0.00029295043558104307,195.7473584551535
mid_frequency_undulation,1,64,afp_poly_residual_phs,0.0003709333067356505,0.0006296940982575682,0.00026972199772392215,182.60527278615717
mid_frequency_undulation,1,64,afp_exchange_poly_residual_phs,0.00027960358290225604,0.00027959198729932,0.0002796064866887372,204.67865194723518
mid_frequency_undulation,2,64,afp_poly_residual_phs,0.00022519526202113653,0.0004024883637980312,0.0001511433104193241,180.44599654313254
mid_frequency_undulation,2,64,afp_exchange_poly_residual_phs,0.0001288366092379171,0.00013248946664890266,0.0001279054992880975,191.75486588476227
mid_frequency_undulation,3,64,afp_poly_residual_phs,0.0003300608839107226,0.0005348828242005531,0.0002541151892567447,189.5433396040018
mid_frequency_undulation,3,64,afp_exchange_poly_residual_phs,0.0002631375129678735,0.00034221228451157695,0.00023927786523429307,227.87240154974162
mid_frequency_undulation,4,64,afp_poly_residual_phs,0.0005718862116939246,0.0011960900577347494,0.00022513837952505139,189.49093890515329
mid_frequency_undulation,4,64,afp_exchange_poly_residual_phs,0.00019322363280814238,0.00023761408690319672,0.00018040487613718096,209.29992979004592
smooth_low_variation,0,81,afp_poly_residual_phs,1.2363704670414314e-05,2.3595922587612125e-05,7.191091314345882e-06,179.58954372084307
smooth_low_variation,0,81,afp_exchange_poly_residual_phs,8.105498667080782e-06,1.4852392011301136e-05,5.187410622084521e-06,198.04777873132522
smooth_low_variation,1,81,afp_poly_residual_phs,0.0001160659047341073,0.0002272751667519059,6.252424676785191e-05,177.3768764707719
smooth_low_variation,1,81,afp_exchange_poly_residual_phs,7.9392202452532e-05,0.0001231471583549799,6.39046560642618e-05,204.58118863569845
smooth_low_variation,2,81,afp_poly_residual_phs,4.8535249199653705e-05,9.513445075043276e-05,2.6059216392396442e-05,169.61872889635814
smooth_low_variation,2,81,afp_exchange_poly_residual_phs,3.2719422338455566e-05,5.826831510148213e-05,2.209993312061874e-05,189.47994532706406
smooth_low_variation,3,81,afp_poly_residual_phs,8.100884301932627e-05,0.00014131965515237402,5.660823947750455e-05,178.16671139674708
smooth_low_variation,3,81,afp_exchange_poly_residual_phs,6.547385288237037e-05,0.00010596373668427923,5.04825074528984e-05,193.41468028149308
