family,index,layout,degree,global_rmse,local_rmse,p95_abs,condition
edge_rolloff,2,regular,3,0.004118504757619321,0.006656378421558154,0.007142399176293414,24.94365478273628
edge_rolloff,2,regular,5,0.0042986270584285695,0.00801223701959266,0.009803900136654772,327.43361648915993
edge_rolloff,2,regular,7,0.010458689563859194,0.020185279167216165,0.023784023718814554,7676.108739186785
edge_rolloff,2,regular,9,0.0034823122264358727,0.006353617134365619,0.006941456587327982,7.740388647875343e+17
edge_rolloff,2,regular,11,0.003102344367322631,0.005682108660110617,0.00623928626015941,4.049534361189323e+17
edge_rolloff,2,afp,3,0.002872351815613927,0.0040652780386563215,0.005845478709234576,18.085986516330284
edge_rolloff,2,afp,5,0.0014578634067868627,0.0022190034514316536,0.002968579170286725,178.67624130576684
edge_rolloff,2,afp,7,0.0005589340441051035,0.001014996491084625,0.0009376879421907854,2313.0173369804656
edge_rolloff,2,afp,9,0.0006703113390580371,0.0013386461205479295,0.0010908304918108977,83727.24853896949
edge_rolloff,2,afp,11,0.0005685102185610099,0.0011692656570641141,0.0009360152802980264,256412.37490024036
edge_rolloff,3,regular,3,0.002879348930722863,0.005216167002663913,0.00499342859625552,24.94365478273628
edge_rolloff,3,regular,5,0.0030052769033331733,0.006472668073614487,0.006854149997780912,327.43361648915993
edge_rolloff,3,regular,7,0.00731192954151517,0.016219823185669016,0.01662800148884172,7676.108739186785
edge_rolloff,3,regular,9,0.002433876761289146,0.005044204974188776,0.0048524733558187715,7.740388647875343e+17
edge_rolloff,3,regular,11,0.002167416226316407,0.004509137556724369,0.004362548898799664,4.049534361189323e+17
edge_rolloff,3,afp,3,0.002003878397500956,0.0027628640866705825,0.004065355678004962,17.57369917129095
edge_rolloff,3,afp,5,0.0010090054093396543,0.001529139832472896,0.0021058375260213525,185.07792744184923
edge_rolloff,3,afp,7,0.00038844114176854173,0.0006834050798066517,0.0006906965408155896,2402.6809808689322
edge_rolloff,3,afp,9,0.0002309936286597218,0.00045351435347409783,0.00048266892068483133,37625.12638712647
edge_rolloff,3,afp,11,0.00026822419624167743,0.0005618099801891407,0.0005260990961290426,84807.09095840536
edge_rolloff,4,regular,3,0.004295279433759014,0.007854899279095997,0.007448965606269497,24.94365478273628
edge_rolloff,4,regular,5,0.0044831329528099454,0.009692800108378915,0.010224703648273334,327.43361648915993
edge_rolloff,4,regular,7,0.010907597981253367,0.02427299900427775,0.024804882821874076,7676.108739186785
edge_rolloff,4,regular,9,0.0036311918843505027,0.007512542411984151,0.0072389977752815166,7.740388647875343e+17
edge_rolloff,4,regular,11,0.0032342232978336766,0.0067099265011275515,0.0065075193320683535,4.049534361189323e+17
edge_rolloff,4,afp,3,0.0028820472716488805,0.004085334260008856,0.006036756186569006,17.958011074100536
edge_rolloff,4,afp,5,0.0014537902167093481,0.0021641870074937575,0.002842266906775874,168.56139192631318
edge_rolloff,4,afp,7,0.0005606968384641373,0.0010381797538154779,0.0008952098823681422,1840.5295846876734
edge_rolloff,4,afp,9,0.000345711482759302,0.0006405274521133214,0.0007399001097764147,34646.4192539783
edge_rolloff,4,afp,11,0.00044073616334501547,0.0007100723959308515,0.0009196729150454702,152735.64463790343
local_bump,0,regular,3,0.0023397265772201296,0.004526190979040793,0.0053003910250295425,24.94365478273628
local_bump,0,regular,5,0.002191921076240843,0.00412477117095804,0.004385445331365457,327.43361648915993
local_bump,0,regular,7,0.01841627809342342,0.03805227767226896,0.03904892070154837,7676.108739186785
local_bump,0,regular,9,0.03545549768966776,0.07272478106386404,0.05328988424550614,7.740388647875343e+17
local_bump,0,regular,11,0.07331212557548561,0.12407318802072767,0.1709304546859981,4.049534361189323e+17
local_bump,0,afp,3,0.002335251791748499,0.004545821179911791,0.005192227714821484,18.018305449873225
local_bump,0,afp,5,0.0021601366725613733,0.004077622918499738,0.0043077633273597435,178.01572097629742
local_bump,0,afp,7,0.0022595051707305037,0.0035460349161524937,0.0049855605767280195,2432.7484033724513
local_bump,0,afp,9,0.004865497483371292,0.009379637291306097,0.007511231620100609,44827.51539214908
local_bump,0,afp,11,0.026256160224031277,0.05175170764348906,0.042685877254401365,110647.89112863313
local_bump,1,regular,3,0.0016555195496421617,0.0032969112670346067,0.002744160858260277,24.94365478273628
local_bump,1,regular,5,0.001765531930266753,0.003496647192471858,0.0044680159964395685,327.43361648915993
local_bump,1,regular,7,0.006046520444731843,0.012320104077718021,0.010503919843788357,7676.108739186785
local_bump,1,regular,9,0.010317074135709535,0.021161841444028565,0.011545254641357675,7.740388647875343e+17
local_bump,1,regular,11,0.024133627729660854,0.04081690891566855,0.05818415342691056,4.049534361189323e+17
