family,index,round,score,global_rmse,local_rmse,low_rmse,p95_abs,condition,success,weighted_coverage,swap_out_hessian,swap_in_hessian,improved
smooth_low_variation,2,2,-0.002770712635932633,4.358592311035385e-05,8.201957256386848e-05,2.6283034785170884e-05,8.268162362250352e-05,194.84205525021088,True,14.830173841430717,0.30753734816112327,0.3546318097449315,True
smooth_low_variation,2,3,-0.0028229065624405464,4.382149847336952e-05,7.83014280914437e-05,2.942489956437374e-05,8.46592201533667e-05,201.0829332758532,True,15.057928514415433,0.29463141190198483,0.4454509273775632,True
smooth_low_variation,2,4,-0.0028279285665090224,4.39347744902684e-05,7.810766138542707e-05,2.976314001656094e-05,7.822246293919876e-05,201.44770090569207,True,15.081812572811655,0.27396373393398793,0.7315301487091321,True
smooth_low_variation,2,5,-0.0028569757004990215,4.127606732001835e-05,7.126660493292975e-05,2.9299588338040536e-05,7.340044156059383e-05,205.3722258573093,True,15.150474934724798,0.3194805411065787,1.0520046888123993,True
smooth_low_variation,2,6,-0.002857216323635773,4.123959922608214e-05,7.066045794940605e-05,2.9601470817780945e-05,7.326214887635533e-05,207.33471551752314,True,15.145888850341281,0.27107539905322114,0.46317261863055786,True
smooth_low_variation,2,7,-0.002857216323635773,4.123959922608214e-05,7.066045794940605e-05,2.9601470817780945e-05,7.326214887635533e-05,207.33471551752314,True,15.145888850341281,,,False
smooth_low_variation,2,8,-0.002864162355225625,4.090486684757252e-05,7.019226560290714e-05,2.9298115144009524e-05,7.113510528019269e-05,209.2701292479978,True,15.17461456719288,0.2801386210988898,0.556526100916053,True
smooth_low_variation,2,9,-0.002870310334616461,4.109779894353016e-05,6.920443771115376e-05,3.0210038127810656e-05,7.603060956469976e-05,211.2516771659091,True,15.197181716628128,0.2632811608708516,0.5122958339629131,True
smooth_low_variation,2,10,-0.0029027855602927265,3.977793460987432e-05,5.302042953016655e-05,3.570067020440371e-05,8.485276559240191e-05,204.62872000917181,True,15.203256447667044,0.2750213382605544,0.40471196656395453,True
smooth_low_variation,2,11,-0.002910270200606711,4.152148110570354e-05,5.045267588777994e-05,3.8965653755518515e-05,9.24126702110544e-05,204.23741535060998,True,15.225645660524036,0.3256624012875575,0.5332208171502318,True
smooth_low_variation,2,12,-0.002924552896859729,3.843393829290937e-05,4.280582365336769e-05,3.7258863718615694e-05,8.60270274455956e-05,210.94320142210228,True,15.210888044556842,0.3018718466890817,0.5196944397265106,True
smooth_low_variation,3,0,-0.0024218362787039377,0.00010390968610713687,0.00018809136214368734,6.812798038079326e-05,0.00024777602638193115,190.24992668204044,True,14.36857492388448,,,
smooth_low_variation,3,1,-0.002484421447859761,9.999327940395367e-05,0.00017836000363342165,6.734919807713923e-05,0.0002299551977838908,206.3388126044529,True,14.571903669927725,0.30337558797942893,0.46715912930893827,True
smooth_low_variation,3,2,-0.002494192150210137,9.812673439356286e-05,0.0001689869457860361,6.992013328879338e-05,0.00022365087665481793,210.23271507057143,True,14.524723671539332,0.3270443950780708,0.41027587682458977,True
smooth_low_variation,3,3,-0.002561663084238185,8.792315053079412e-05,0.0001370091907724545,7.046628367195149e-05,0.00018580348587670948,216.75353877987845,True,14.5152661884901,0.3354190520063216,0.45570365095227416,True
smooth_low_variation,3,4,-0.002586808779390404,8.515350588751423e-05,0.00012299284873283577,7.265479710523707e-05,0.00017116077553737147,217.29885317577683,True,14.497495277168321,0.3371853877138743,0.5866361233455654,True
smooth_low_variation,3,5,-0.002640431692140164,8.247778100488776e-05,0.00010280649956271771,7.654622701428893e-05,0.00016548313488337453,226.53594458526595,True,14.5655074866804,0.34937593218622376,0.4139096711670762,True
smooth_low_variation,3,6,-0.002640431692140164,8.247778100488776e-05,0.00010280649956271771,7.654622701428893e-05,0.00016548313488337453,226.53594458526595,True,14.5655074866804,,,False
smooth_low_variation,3,7,-0.002640431692140164,8.247778100488776e-05,0.00010280649956271771,7.654622701428893e-05,0.00016548313488337453,226.53594458526595,True,14.5655074866804,,,False
smooth_low_variation,3,8,-0.002640431692140164,8.247778100488776e-05,0.00010280649956271771,7.654622701428893e-05,0.00016548313488337453,226.53594458526595,True,14.5655074866804,,,False
smooth_low_variation,3,9,-0.002640431692140164,8.247778100488776e-05,0.00010280649956271771,7.654622701428893e-05,0.00016548313488337453,226.53594458526595,True,14.5655074866804,,,False
smooth_low_variation,3,10,-0.002640431692140164,8.247778100488776e-05,0.00010280649956271771,7.654622701428893e-05,0.00016548313488337453,226.53594458526595,True,14.5655074866804,,,False
smooth_low_variation,3,11,-0.002700362524669742,8.043435704727435e-05,7.407228729960489e-05,8.195030117471952e-05,0.0001724591780969462,225.19948985058687,True,14.589153066106427,0.3532952815059828,0.7443049200186972,True
smooth_low_variation,3,12,-0.0027096398713704695,7.987618845584937e-05,6.992380920835794e-05,8.218004580506791e-05,0.0001652120198349727,230.0629371846216,True,14.594375534308906,0.33699590711989086,0.39739801482172377,True
smooth_low_variation,4,0,-0.002546964547472778,9.269709898327252e-05,0.00018056354709550243,5.079241070780864e-05,0.00020629717326634464,186.919969586886,True,14.86852104291365,,,
smooth_low_variation,4,1,-0.0026311235116629954,8.255336130858024e-05,0.00015749180072143523,4.806463143364263e-05,0.00016016967671839512,189.24823749278303,True,15.025183521531154,0.29662284019647783,0.8759889541080045,True
smooth_low_variation,4,2,-0.0026600125591220262,7.958694502222748e-05,0.00015013755227547747,4.7700598157151774e-05,0.0001572173436032588,192.29254784288392,True,15.086769879269436,0.315684447542321,0.9170893755437769,True
smooth_low_variation,4,3,-0.0026796714492415465,8.040010172485052e-05,0.00014291996011408343,5.447676797646895e-05,0.00014774360833141601,204.80689478309662,True,15.122367385887257,0.2927283367485703,0.43650696628653163,True
smooth_low_variation,4,4,-0.002685139728772022,7.916364429671127e-05,0.00014237658165107832,5.2534169260080055e-05,0.000135050832479317,202.28855596888658,True,15.13850024561614,0.32382427758168536,0.36383330820561455,True
smooth_low_variation,4,5,-0.002694801322106829,8.005148997004435e-05,0.00013905578687580902,5.6308455285959334e-05,0.00014671972483479038,207.63379121677917,True,15.1605300889856,0.32809203194526115,0.6652770898563569,True
smooth_low_variation,4,6,-0.002709138512912269,8.298523549761424e-05,0.00013095438861637754,6.570032705604158e-05,0.0001589681664103017,218.59046275823343,True,15.171946836750909,0.33158392340040754,0.37255715205199663,True
smooth_low_variation,4,7,-0.0027203243449046765,8.389395948942147e-05,0.00012734924053728043,6.884301625125053e-05,0.00016402533160393877,211.7321713227797,True,15.199071996940333,0.3173487055669228,0.3933039565747766,True
smooth_low_variation,4,8,-0.002722957646904725,8.520104733334742e-05,0.00012741911506457523,7.079035889265029e-05,0.0001612929944042416,208.0643515971679,True,15.21942028553768,0.33651446764563275,0.36688593049872015,True
smooth_low_variation,4,9,-0.002757136392737154,8.220963328716316e-05,0.00011840124004979639,7.028662787085447e-05,0.00015636034071435959,211.15860031360918,True,15.2919416005822,0.31600920619666956,0.9794299143130403,True
smooth_low_variation,4,10,-0.002762052194820677,8.363087335665407e-05,0.00011499007906912525,7.371776802241244e-05,0.00016432653161947228,215.61219245843924,True,15.292073572276065,0.34943343713094993,0.39116243364013503,True
