family,index,round,score,global_rmse,local_rmse,residual_local_rmse,weighted_coverage,swap_out_hessian,swap_in_hessian,improved
edge_rolloff,0,5,0.0004243310801054687,0.0006722914098729326,0.001258904073540496,0.001258904073540496,14.143568402627404,0.2721276790042652,1.076355413564885,True
edge_rolloff,0,6,0.0004172552450919312,0.0006743333722516874,0.0012601041641612995,0.0012601041641612995,14.2014583184521,0.2607637622187057,0.4582682200721966,True
edge_rolloff,0,7,0.0004093949688600486,0.0006822657695144212,0.001258758327256882,0.001258758327256882,14.266626857654904,0.2718489909481425,0.705179081809862,True
edge_rolloff,0,8,0.0003915931763675976,0.0006820756746390927,0.0012488289230492369,0.0012488289230492369,14.252908952612154,0.2724475588665541,0.5239992554352868,True
edge_rolloff,0,9,0.00036513853816103406,0.0006802671103476319,0.00124324404614224,0.00124324404614224,14.318894333890949,0.2780710567457025,0.6606609081172525,True
edge_rolloff,0,10,0.00032522907021179884,0.0006960905655497489,0.0012162650959255312,0.0012162650959255312,14.321024709926442,0.27929383413198244,0.4684758984156674,True
edge_rolloff,0,11,0.0003140188122937159,0.000704599793269476,0.001208970995932563,0.001208970995932563,14.34485761318757,0.2588024237773566,0.5638391877234988,True
edge_rolloff,0,12,0.00018651537224828292,0.0006767548010185692,0.0011596399121971592,0.0011596399121971592,14.337506243872314,0.28436390329199607,0.43962876608784834,True
edge_rolloff,1,0,0.002304649330208188,0.0010604143988154828,0.001982594177354746,0.001982594177354746,14.100415660922623,,,
edge_rolloff,1,1,0.002303976074172434,0.0010622045288792114,0.0019832319761836767,0.0019832319761836767,14.119270029416572,0.2641074101303324,0.7467225751404076,True
edge_rolloff,1,2,0.002214113039579017,0.001053006873739456,0.0019456738123755034,0.0019456738123755034,14.137625747651105,0.26394059407608267,0.3857281345299153,True
edge_rolloff,1,3,0.0019995464339364224,0.0010021455797211507,0.001870235773415184,0.001870235773415184,14.182912406429274,0.25762237370073376,0.3593709113139908,True
edge_rolloff,1,4,0.0017874995240348287,0.0009868377437655135,0.0017784649363019702,0.0017784649363019702,14.22595669574862,0.2578151724475429,0.8563201026002776,True
