family,index,round,score,global_rmse,local_rmse,residual_local_rmse,weighted_coverage,improved
smooth_low_variation,3,3,-0.0020522584123347882,0.00014219446130766722,0.0002806855077936593,0.0002806855077936593,13.9194622000457,True
smooth_low_variation,3,4,-0.0020631796047061745,0.0001427130572138812,0.0002777096905472583,0.0002777096905472583,13.94541506034649,True
smooth_low_variation,3,5,-0.0020858535076678127,0.00013892140573988155,0.000264488119058927,0.000264488119058927,13.900999817157203,True
smooth_low_variation,3,6,-0.002308787904225672,0.00011713510179966608,0.00019506424668022283,0.00019506424668022283,14.17778962026903,True
smooth_low_variation,3,7,-0.0023116553605574,0.00011909482089587922,0.00019047033740227928,0.00019047033740227922,14.15368944999033,True
smooth_low_variation,3,8,-0.002315941132301982,0.00011849335120297478,0.0001875755103742286,0.00018757551037422866,14.141715276454184,True
smooth_low_variation,3,9,-0.0023311027093602167,0.0001185658446640955,0.0001807350313865437,0.00018073503138654374,14.146060599680268,True
smooth_low_variation,3,10,-0.0023311027093602167,0.0001185658446640955,0.0001807350313865437,0.00018073503138654374,14.146060599680268,False
smooth_low_variation,3,11,-0.002331992166756514,0.00011777589147822389,0.00017512763931670753,0.00017512763931670753,14.08768050399912,True
smooth_low_variation,3,12,-0.0023401614631971385,0.00011159148805869941,0.00017010261906893242,0.00017010261906893242,14.04484225650298,True
smooth_low_variation,3,13,-0.0024596001378653465,0.0001096811285396239,0.00013414675237606428,0.00013414675237606423,14.254947231973526,True
smooth_low_variation,3,14,-0.0024868263927132223,0.0001022015223095358,0.00011878753067138189,0.00011878753067138188,14.1924086471633,True
smooth_low_variation,4,0,-0.0018328687766911587,0.00019652503757766276,0.00035966186574672344,0.00035966186574672344,13.923418661684703,
smooth_low_variation,4,1,-0.0018538837676851402,0.0001920643140082652,0.00035116854234300255,0.00035116854234300255,13.917010103068554,True
smooth_low_variation,4,2,-0.0018590327410996765,0.00018965348149927401,0.00034248527265685354,0.00034248527265685354,13.839526475891715,True
smooth_low_variation,4,3,-0.0018760422074213235,0.00018637132373356064,0.000334730028496546,0.00033473002849654604,13.826732954988152,True
smooth_low_variation,4,4,-0.002008043033735264,0.00016570265828779186,0.0002870171098713963,0.0002870171098713963,13.882408113764939,True
