family,index,method,global_rmse,local_rmse,condition
edge_rolloff,2,random_uniform_poly_residual_phs,0.0012074259056983755,0.0020693101845646795,235.05539917385397
edge_rolloff,2,jittered_grid_poly_residual_phs,0.0035429297986963476,0.006006465728922129,356.6962360001077
edge_rolloff,2,latin_hypercube_poly_residual_phs,0.0013213035315770402,0.0025448820172998105,270.21664999148777
edge_rolloff,2,poisson_disk_poly_residual_phs,0.0009194359089618341,0.001490404459108624,185.356227724294
edge_rolloff,2,afp_poly_residual_phs,0.0009128804178834682,0.0014739605992444324,180.06012500104652
edge_rolloff,2,hessian_weighted_poly_residual_phs,0.0009102032407920017,0.0012175623096255762,194.84388375672108
edge_rolloff,2,afp_exchange_poly_residual_phs,0.0008077402957777998,0.0011127891613023147,250.70432171020437
edge_rolloff,3,regular_poly_only,0.004624856304285318,0.008819142564341718,366.6767281154971
edge_rolloff,3,regular_poly_residual_phs,0.004197637117631645,0.008168104798569146,366.6767281154971
edge_rolloff,3,random_uniform_poly_residual_phs,0.003176238087491619,0.005898728622950478,289.56223889822286
edge_rolloff,3,jittered_grid_poly_residual_phs,0.0014873488325959977,0.0022239034882651698,217.14704199529578
edge_rolloff,3,latin_hypercube_poly_residual_phs,0.0015780229949399994,0.002821420994783628,221.46523354031734
edge_rolloff,3,poisson_disk_poly_residual_phs,0.0011692766864238589,0.0019528608621831541,191.86486089758398
edge_rolloff,3,afp_poly_residual_phs,0.001236786717131655,0.0020171578656006973,195.81365932203667
edge_rolloff,3,hessian_weighted_poly_residual_phs,0.001186878200696073,0.0014442934446280903,207.01988161916927
edge_rolloff,3,afp_exchange_poly_residual_phs,0.0009336630270796129,0.001277536203787053,238.9330834215615
edge_rolloff,4,regular_poly_only,0.003979076394681378,0.007923094101670828,366.6767281154971
edge_rolloff,4,regular_poly_residual_phs,0.00361151085985766,0.007344651819905635,366.6767281154971
edge_rolloff,4,random_uniform_poly_residual_phs,0.0011521003903923995,0.002235985733516477,280.62446153098745
edge_rolloff,4,jittered_grid_poly_residual_phs,0.002442443763390813,0.004992306926593262,321.7723688535611
edge_rolloff,4,latin_hypercube_poly_residual_phs,0.0014131364549105723,0.002686558337129533,206.65613869296462
edge_rolloff,4,poisson_disk_poly_residual_phs,0.001010134274107952,0.0018029426423622737,192.85559102426714
edge_rolloff,4,afp_poly_residual_phs,0.0010146097051536049,0.0013770144512812105,198.58956975016767
edge_rolloff,4,hessian_weighted_poly_residual_phs,0.0009422339392775008,0.0013496130406470941,204.6651275232394
edge_rolloff,4,afp_exchange_poly_residual_phs,0.000769262369060433,0.0010151518710451236,219.10265285933434
local_bump,0,regular_poly_only,0.0022544400246845677,0.004432468119440549,366.6767281154971
local_bump,0,regular_poly_residual_phs,0.0010776387700485873,0.0017501778305640072,366.6767281154971
local_bump,0,random_uniform_poly_residual_phs,0.0017417344679855331,0.002823258525010605,238.8430341449944
local_bump,0,jittered_grid_poly_residual_phs,0.0012370186332830795,0.002290981092376997,316.81033319834745
local_bump,0,latin_hypercube_poly_residual_phs,0.0016246263170016102,0.0022317521631654604,219.10784885443755
local_bump,0,poisson_disk_poly_residual_phs,0.0007933595542904455,0.00130803817765358,192.63167882724338
local_bump,0,afp_poly_residual_phs,0.0009226366826565241,0.0018042118322172706,183.47586025801758
local_bump,0,hessian_weighted_poly_residual_phs,0.0006831815636672746,0.00047931022435945613,190.8978944892234
local_bump,0,afp_exchange_poly_residual_phs,0.0006875528160461813,0.0005501986805581484,211.00395761481263
local_bump,1,regular_poly_only,0.0019452716866242004,0.003728033414073786,366.6767281154971
local_bump,1,regular_poly_residual_phs,0.0018924625160516445,0.0037742539624638187,366.6767281154971
local_bump,1,random_uniform_poly_residual_phs,0.001094076775055323,0.002049127937495258,303.3781658971655
local_bump,1,jittered_grid_poly_residual_phs,0.003180560831356359,0.006466827218007494,339.98025378034833
local_bump,1,latin_hypercube_poly_residual_phs,0.0018458346829651766,0.003646877962145003,227.60281215161544
local_bump,1,poisson_disk_poly_residual_phs,0.000941312205738828,0.00176076688562106,192.63798865983884
local_bump,1,afp_poly_residual_phs,0.0010782192514206502,0.0021503293921951855,187.60142973614086
local_bump,1,hessian_weighted_poly_residual_phs,0.0006801543628221901,0.0012278026228636628,209.29578448918429
local_bump,1,afp_exchange_poly_residual_phs,0.0005246083116692699,0.0007659149824511996,238.0239854773988
local_bump,2,regular_poly_only,0.0017608252144113584,0.0029728050481972793,366.6767281154971
local_bump,2,regular_poly_residual_phs,0.0009631455543302681,0.0014935777631040694,366.6767281154971
local_bump,2,random_uniform_poly_residual_phs,0.0013582638389081163,0.0022959054704564446,293.62801721821535
