family,index,seed,method,n_points,degree,condition,success,global_rmse,local_rmse,low_rmse,p95_abs
edge_rolloff,1,20261514,afp_poly_residual_phs,64,5,179.578195861112,True,0.0010604143988154828,0.001982594177354746,0.0006494057699993843,0.002257896976999103
edge_rolloff,1,20261514,hessian_weighted_poly_residual_phs,64,5,198.4413828429488,True,0.0010732861676122014,0.0017085359977972476,0.000842258350064987,0.002535654061053349
edge_rolloff,1,20261514,afp_exchange_poly_residual_phs,64,5,195.099304943744,True,0.0009566661181920521,0.0016589767282504096,0.0006746670995356424,0.0018443403211045749
edge_rolloff,2,20261515,afp_poly_only,64,5,184.9040907431142,True,0.0014187224591516447,0.002259149653139071,0.0011129712669385049,0.002851516530726897
edge_rolloff,2,20261515,afp_poly_residual_phs,64,5,184.9040907431142,True,0.001018776863768477,0.0018698392993009183,0.000649812532647309,0.002387513844478796
edge_rolloff,2,20261515,hessian_weighted_poly_residual_phs,64,5,227.43137047919603,True,0.0008416300325043314,0.0013344351938490459,0.0006631653373039298,0.0018772612136162107
edge_rolloff,2,20261515,afp_exchange_poly_residual_phs,64,5,202.29902957783548,True,0.0009223770817973665,0.001456220226653368,0.0007299224249074661,0.0017182805075466059
edge_rolloff,3,20261516,afp_poly_only,64,5,179.26669589783137,True,0.0016322209566808125,0.002596780231073825,0.0012816471701134304,0.0032768301094214585
edge_rolloff,3,20261516,afp_poly_residual_phs,64,5,179.26669589783137,True,0.0011705374168017825,0.0022269338801665993,0.0006865516259942168,0.002499196037726349
edge_rolloff,3,20261516,hessian_weighted_poly_residual_phs,64,5,209.23736669265918,True,0.0009489139453235418,0.0016899585120073962,0.0006408747965188818,0.0022936749412852545
edge_rolloff,3,20261516,afp_exchange_poly_residual_phs,64,5,201.79628615802233,True,0.0010645808025652585,0.0016782560296565716,0.0008436879693330229,0.0018167860816291268
edge_rolloff,4,20261517,afp_poly_only,64,5,184.2802227217252,True,0.0013527936781910375,0.0021972353420307922,0.0010389032982614445,0.002813389842927346
edge_rolloff,4,20261517,afp_poly_residual_phs,64,5,184.2802227217252,True,0.000917979702566026,0.0017103212440120713,0.0005667166405813647,0.002089633692558473
edge_rolloff,4,20261517,hessian_weighted_poly_residual_phs,64,5,225.7441693155145,True,0.0008289778550880287,0.0013080105852595009,0.0006563874314233799,0.0019295194770268245
edge_rolloff,4,20261517,afp_exchange_poly_residual_phs,64,5,189.92494565952768,True,0.0008181028308537849,0.0014380650479649802,0.0005648089041014609,0.0016763312378306628
local_bump,0,20262513,afp_poly_only,64,5,170.9638814839797,True,0.002160052705609725,0.004520051891838892,0.0008472440344276508,0.0044844646913393005
local_bump,0,20262513,afp_poly_residual_phs,64,5,170.9638814839797,True,0.0009477471381712443,0.001990846300222514,0.000361389155375764,0.0020985741814380575
local_bump,0,20262513,hessian_weighted_poly_residual_phs,64,5,205.0538677467738,True,0.0008948721985174875,0.000999486460981678,0.0008666990426650266,0.002090911667273667
local_bump,0,20262513,afp_exchange_poly_residual_phs,64,5,186.95759121819796,True,0.0005557472706883957,0.0007486198493893254,0.0004958358925322916,0.0011906875277452181
local_bump,1,20262514,afp_poly_only,64,5,179.70214300358785,True,0.0013683160977260949,0.002813824724877179,0.0005986421015052681,0.0025620680666060174
local_bump,1,20262514,afp_poly_residual_phs,64,5,179.70214300358785,True,0.0009458264072374354,0.0020235720397066767,0.00030521197490316867,0.0022643634905301275
local_bump,1,20262514,hessian_weighted_poly_residual_phs,64,5,206.4600274677882,True,0.0004214526714733012,0.0005434637901937259,0.00038488875075210226,0.0009548921109762494
local_bump,1,20262514,afp_exchange_poly_residual_phs,64,5,193.78571170550947,True,0.0005418497668900769,0.0008585324373508056,0.0004272496221639831,0.0012243053526270922
local_bump,2,20262515,afp_poly_only,64,5,182.00101538391402,True,0.0017375786720201087,0.003108442342740921,0.0011642718214943265,0.0033905349334621008
local_bump,2,20262515,afp_poly_residual_phs,64,5,182.00101538391402,True,0.0006837200049087426,0.0013626158906164267,0.0003457837713646848,0.0016179347858966962
local_bump,2,20262515,hessian_weighted_poly_residual_phs,64,5,178.92261610449998,True,0.00046808452190321017,0.00041301050795013774,0.00048089005049406654,0.0009911165462785857
