family,index,round,swap_out_hessian_weight,swap_in_hessian_weight,delta
edge_rolloff,2,5,0.3713787754434924,0.45948559018687163,0.08810681474337922
edge_rolloff,2,6,0.389198517500424,0.4649292462675163,0.0757307287670923
edge_rolloff,2,7,0.41456349491468497,0.5640335105533307,0.14947001563864576
edge_rolloff,2,8,0.34539038620562973,0.47279879537517955,0.12740840916954982
edge_rolloff,2,9,0.31680461045822,0.4720429896838685,0.15523837922564848
edge_rolloff,2,10,0.45139100414943356,0.6233447519104611,0.17195374776102756
edge_rolloff,3,1,0.32352625191519613,0.8071207434383157,0.4835944915231196
edge_rolloff,3,2,0.3110818576514076,0.773221455810001,0.4621395981585934
edge_rolloff,3,3,0.42211807095539344,0.8519116147963088,0.4297935438409154
edge_rolloff,3,5,0.3505485051803366,0.9279864031671106,0.577437897986774
edge_rolloff,3,6,0.4281502232267288,1.0158479891933865,0.5876977659666577
edge_rolloff,3,7,0.48789690662787727,0.7209996927552669,0.2331027861273896
edge_rolloff,3,8,0.4947401350057685,0.740471806358289,0.2457316713525205
edge_rolloff,3,12,0.49231825796562334,0.5812904669331904,0.08897220896756708
edge_rolloff,4,1,0.3223963182534183,0.5737003953468767,0.25130407709345837
edge_rolloff,4,2,0.30577760885980204,1.335606308839441,1.0298286999796389
edge_rolloff,4,3,0.3667975356171874,0.8254359156691456,0.4586383800519582
edge_rolloff,4,4,0.3463805869693859,1.084130348297553,0.7377497613281672
edge_rolloff,4,6,0.2800426234891481,0.4836443615903937,0.2036017381012456
edge_rolloff,4,7,0.3127055533170767,1.572155607238851,1.2594500539217743
edge_rolloff,4,8,0.3752868783691865,0.4775730875701353,0.10228620920094877
edge_rolloff,4,10,0.36498218740042626,0.48476468114304005,0.1197824937426138
edge_rolloff,4,11,0.4513711008854039,0.9581958487147526,0.5068247478293487
edge_rolloff,4,12,0.45411286057792044,0.660880545112994,0.20676768453507355
local_bump,0,1,0.3290663078528342,0.5184919085170633,0.1894256006642291
local_bump,0,2,0.3193227534228228,0.4913020057619101,0.17197925233908729
local_bump,0,3,0.3572315880769709,1.255022622862577,0.897791034785606
local_bump,0,4,0.38460608961130227,0.8288298127589626,0.44422372314766034
local_bump,0,5,0.40151008750630507,0.641118848241342,0.23960876073503695
local_bump,0,6,0.3235163110866062,0.7565915061911223,0.43307519510451603
local_bump,0,7,0.3949540565773196,0.936092322044008,0.5411382654666885
local_bump,0,9,0.39947026914211015,1.038062303064537,0.6385920339224269
local_bump,0,11,0.424332106138244,0.9291056363091588,0.5047735301709148
local_bump,1,1,0.26932833533687445,0.6836221905816997,0.41429385524482526
local_bump,1,2,0.29110713008382616,0.5999375582805596,0.30883042819673345
local_bump,1,3,0.29254943653943644,0.5551733561338579,0.26262391959442144
local_bump,1,4,0.32145791637403254,0.48801484696462816,0.16655693059059562
local_bump,1,5,0.2829603809359923,0.45384975919539977,0.17088937825940748
local_bump,1,6,0.34524200176564684,0.5911801159416081,0.2459381141759613
local_bump,1,7,0.291015655873323,1.2464005256419564,0.9553848697686333
local_bump,1,8,0.3642154060596255,0.5759655988496863,0.21175019279006085
local_bump,1,9,0.35082246801078565,0.4661407282745861,0.11531826026380043
local_bump,1,10,0.3064215152397057,0.6108241366913781,0.30440262145167246
local_bump,2,1,0.3109488002067328,0.9339142446548279,0.622965444448095
local_bump,2,2,0.34376865082996316,0.7597456442319319,0.41597699340196875
local_bump,2,3,0.40227561988253235,1.026895423134921,0.6246198032523886
local_bump,2,5,0.44944775070558984,1.303154716566474,0.8537069658608842
local_bump,2,7,0.45202972312687406,0.8670754861857194,0.41504576305884533
local_bump,2,8,0.3579830839327719,0.7119398001830606,0.3539567162502887
local_bump,2,9,0.3845064527266112,1.2062289373338584,0.8217224846072472
local_bump,2,10,0.5029355104101891,0.8220048329478041,0.319069322537615
local_bump,2,11,0.5169253944453952,0.7344242167563098,0.21749882231091455
local_bump,2,12,0.535037666826325,0.6195047617055647,0.08446709487923965
local_bump,3,1,0.27733675532836377,0.50849686012436,0.23116010479599625
local_bump,3,2,0.27697847900039574,0.5281696283161942,0.25119114931579845
local_bump,3,3,0.2860564224038137,0.5786918135338355,0.2926353911300218
local_bump,3,4,0.31870228022806946,1.3047916719096646,0.9860893916815952
local_bump,3,5,0.2997477336966331,0.6714660540890355,0.3717183203924024
local_bump,3,6,0.32487383920542523,0.6024347486691228,0.2775609094636976
local_bump,3,7,0.33586428470223695,1.0196039167923014,0.6837396320900645
local_bump,3,8,0.3877980763719536,0.7006851940996903,0.3128871177277367
local_bump,3,11,0.3224820213850552,0.86015341067066,0.5376713892856048
local_bump,3,12,0.4073858884536393,0.48414499828558605,0.07675910983194673
local_bump,4,1,0.3096186266964339,0.5623712167687759,0.25275259007234196
local_bump,4,2,0.3804256938386329,0.8552764314601938,0.47485073762156094
local_bump,4,3,0.38981626539177183,0.6397487921857281,0.24993252679395628
local_bump,4,4,0.42143771258075174,0.7444416061275209,0.3230038935467691
